lo_freq	hi_freq	lo_amplitude	hi_amplitude
0	-0.0692317	33.7125	89.8809
16.0615	-0.0502377	31.5144	89.8809
-6.86613	-0.16809	34.33	89.8809
36.0556	0.199539	45.0955	89.8809
-31.7405	-0.505783	39.394	89.8809
-7.07724	-0.299184	27.6789	89.8809
-18.2463	-0.769395	30.1698	89.8809
-2.51465	0.84113	23.3632	89.8809
-3.06393	0.232826	21.2777	89.8809
-5.13177	-0.179707	18.4931	89.8809
-5.19565	-0.00849103	18.2836	89.8809
-0.835246	-0.088768	16.6163	89.8809
-3.6469	-0.111838	23.165	89.8809
-9.83495	-0.229539	23.9423	89.8809
-3.8402	0.0532921	19.476	89.8809
-8.67666	0.0447246	26.2173	89.8809
6.7213	-0.269353	26.3942	89.8809
2.41457	-0.241792	17.6805	89.8809
-1.53723	0.131301	9.63947	89.8809
0.297728	-0.125869	3.28027	89.8809
-1.83852	-0.110423	12.2914	89.8809
1.88942	-0.168385	16.4215	89.8809
4.62492	0.18699	24.6989	89.8809
-4.28911	-0.437075	21.9286	89.8809
-1.71752	-0.271047	13.5774	89.8809
-5.07305	-0.709362	18.245	89.8809
-0.307605	0.819287	12.2097	89.8809
-0.632142	0.262586	11.424	89.8809
-1.77352	-0.177588	10.2025	89.8809
-1.45251	0.0309753	9.25142	89.8809
-0.673563	-0.0671318	9.37284	89.8809
-0.285775	-0.0961158	13.6136	89.8809
-3.8294	-0.237293	15.8096	89.8809
-1.34781	0.0526631	11.7277	89.8809
-3.49658	0.0395064	18.4436	89.8809
3.65142	-0.268023	19.8822	89.8809
1.32383	-0.242331	11.5329	89.8809
-0.795017	0.139778	8.04399	89.8809
0.110929	-0.142757	1.29101	89.8809
-0.848989	-0.0975637	6.98845	89.8809
0.750458	-0.179786	11.0956	89.8809
2.39003	0.143509	18.5628	89.8809
-2.11875	-0.378037	16.5957	89.8809
-0.788615	-0.287284	9.42102	89.8809
-2.7031	-0.65701	13.396	89.8809
-0.532583	0.812994	9.60742	89.8809
-0.282232	0.283865	7.56859	89.8809
-1.0891	-0.111763	7.37868	89.8809
-0.957463	-0.0121574	6.71707	89.8809
-0.483875	-0.0295844	7.70009	89.8809
-0.174517	-0.114957	9.25786	89.8809
-2.3019	-0.264252	11.9473	89.8809
-0.921691	0.139293	8.98541	89.8809
-2.53846	0.0515519	14.9114	89.8809
2.64696	-0.248785	16.4508	89.8809
0.543389	-0.207032	7.10457	89.8809
-0.769536	0.150474	6.04881	89.8809
-0.0536811	-0.119003	0.780916	89.8809
-0.530808	-0.0949867	5.5642	89.8809
0.467562	-0.158126	8.59212	89.8809
1.33094	0.187475	15.4067	89.8809
-1.40216	-0.338084	13.8356	89.8809
-0.510343	-0.305045	7.28047	89.8809
-1.88882	-0.631252	11.0435	89.8809
-0.426851	0.801773	7.71202	89.8809
-0.229526	0.284847	6.4924	89.8809
-0.754253	-0.115764	5.62841	89.8809
-0.744372	0.0587036	5.69662	89.8809
-0.412185	0.0353808	6.26112	89.8809
-0.12253	-0.0588399	7.54931	89.8809
-1.79679	-0.240572	10.2867	89.8809
-0.810959	0.13635	7.30892	89.8809
-1.89959	0.105931	12.5524	89.8809
2.02247	-0.14657	13.9741	89.8809
0.672108	-0.277832	7.21084	89.8809
-0.346566	0.167152	3.33756	89.8809
0.0590271	-0.0761362	0.692489	89.8809
-0.35048	-0.0802302	3.80776	89.8809
0.260558	-0.140763	7.2263	89.8809
0.871806	0.246769	13.4572	89.8809
-0.954869	-0.301925	11.8823	89.8809
-0.360225	-0.229341	6.1809	89.8809
-1.44293	-0.634917	9.39668	89.8809
-0.364934	0.767626	6.46553	89.8809
-0.123408	0.191289	5.17157	89.8809
-0.553873	-0.107056	4.42363	89.8809
-0.527846	0.00195788	4.33718	89.8809
-0.389424	-0.0523079	5.25353	89.8809
-0.0433052	-0.127851	6.36	89.8809
