lo_freq	hi_freq	lo_amplitude	hi_amplitude
0.00973511	0.00156338	0.00973511	0.0308209
-0.0143105	0.0065759	0.0143252	0.0308209
-0.0179058	0.00423729	0.0308209	0.0308209
0.0109031	-0.00622382	0.0119377	0.0308209
-0.00872957	0.00391361	0.0106249	0.0308209
0.00195104	-0.00632947	0.00381415	0.0308209
-0.00425922	0.00305964	0.0133579	0.0308209
-0.0109348	-0.000816635	0.0132441	0.0308209
-0.0126899	-0.00352559	0.0141234	0.0308209
-0.00041878	0.00115279	0.001087	0.0308209
-0.00966537	-0.00242543	0.0106307	0.0308209
-0.00434266	-0.0128466	0.00512351	0.0308209
-0.00416669	-0.00165858	0.00807171	0.0308209
-0.00134458	0.00438688	0.00151383	0.0308209
-0.00109063	0.00360842	0.00436181	0.0308209
0.00868173	-0.00889185	0.010997	0.0308209
0.00358203	0.00595984	0.00379494	0.0308209
0.00128444	-0.00805554	0.00896685	0.0308209
0.0105759	0.00324105	0.0105992	0.0308209
0.00178477	0.00815812	0.00479733	0.0308209
-0.0144421	-0.0072409	0.0144459	0.0308209
0.00420512	0.00462133	0.0107537	0.0308209
0.00278402	-0.00108969	0.00315243	0.0308209
-9.87558e-05	-0.00750261	0.00221736	0.0308209
-0.00953742	0.00344563	0.014621	0.0308209
0.00220978	0.00651137	0.0093502	0.0308209
-0.00465102	0.00426009	0.00475968	0.0308209
0.00696141	-0.00605632	0.00935103	0.0308209
-0.00327296	0.00235755	0.0053017	0.0308209
-0.00605292	0.00537109	0.00937795	0.0308209
0.000343717	0.00541216	0.0095785	0.0308209
0.0125614	-0.00747218	0.0127088	0.0308209
-0.00561327	0.00204055	0.00568143	0.0308209
-0.0105333	-4.93687e-05	0.0105975	0.0308209
-0.00262767	-0.0109616	0.0135077	0.0308209
-0.010747	0.00170284	0.0107584	0.0308209
0.00209165	-0.00527415	0.00242161	0.0308209
0.00104457	-0.00188199	0.0012125	0.0308209
-0.0143592	0.00160784	0.0146053	0.0308209
-0.00107349	-0.000143392	0.010334	0.0308209
-0.00251301	-0.00191875	0.00264713	0.0308209
0.0076028	-0.00214645	0.00774472	0.0308209
0.00670926	0.00296191	0.014108	0.0308209
0.0047116	0.00574597	0.0112947	0.0308209
-0.00130753	-0.00027836	0.00215167	0.0308209
-7.50563e-05	-0.000806714	0.00636489	0.0308209
-0.0123533	-0.00394794	0.0125957	0.0308209
-0.00695242	0.00535138	0.0142012	0.0308209
0.00852853	0.0022788	0.00959836	0.0308209
0.00419887	-0.00446036	0.00652258	0.0308209
0.000347776	-0.00402742	0.000863733	0.0308209
-0.00905072	0.00181342	0.0101192	0.0308209
-0.00458871	0.00267474	0.0132377	0.0308209
-0.00893364	-0.00546388	0.00906116	0.0308209
0.00844259	-0.00432361	0.00854959	0.0308209
0.00317677	-0.00315347	0.00366753	0.0308209
-0.00311946	-0.00720567	0.00346399	0.0308209
-0.000628402	0.0031086	0.00273274	0.0308209
0.00353813	-0.00429238	0.00400073	0.0308209
-0.000749012	-0.00358983	0.00105939	0.0308209
0.00926092	0.00926078	0.0125803	0.0308209
-0.000457443	0.00210663	0.000458075	0.0308209
0.00137741	-0.00500693	0.0121982	0.0308209
0.00838486	-0.0058489	0.0119266	0.0308209
-0.0102011	-0.00640103	0.0102284	0.0308209
-0.0167325	0.0104178	0.0167598	0.0308209
0.0172562	-0.0058053	0.0190398	0.0308209
0.00684829	0.00951215	0.0144145	0.0308209
-0.00596143	0.000724932	0.007225	0.0308209
0.00521168	-0.000709727	0.00667261	0.0308209
0.0027097	-0.00154217	0.0093987	0.0308209
-0.00188712	0.0047126	0.00228909	0.0308209
-0.00189559	0.00425782	0.00411887	0.0308209
-0.00907424	0.0138272	0.0103262	0.0308209
0.00342375	0.0012985	0.00632644	0.0308209
-0.00610298	0.00363247	0.0116045	0.0308209
-0.0138968	0.00375158	0.0139083	0.0308209
-0.00513496	0.0150482	0.0102987	0.0308209
0.00341844	0.00337864	0.00343636	0.0308209
